region,year ,month,date,hospital_beds,COVID_hospitals,Hospitals,COVID_Beds,Intensive_COVID_beds,ID_Beds,Infection_beds,COVID_proportion,Hospitals_involved
Велико Търново,2021,декември,15.12.2021,1576,6,13,227,39,18,84,"14,40","46,2"
Видин,2021,декември,15.12.2021,320,2,2,60,6,2,0,"18,75","100,0"
Враца,2021,декември,15.12.2021,1201,3,12,261,40,18,10,"21,73","25,0"
Габрово,2021,декември,15.12.2021,905,5,7,196,15,11,52,"21,66","71,4"
Кюстендил,2021,декември,15.12.2021,1011,3,5,149,28,15,46,"14,74","60,0"
Монтана,2021,декември,15.12.2021,994,4,5,238,22,6,0,"23,94","80,0"
Перник,2021,декември,15.12.2021,447,3,4,138,10,9,15,"30,87","75,0"
Плевен,2021,декември,15.12.2021,2679,13,14,278,115,21,40,"10,38","92,9"
Пловдив,2021,декември,15.12.2021,7691,19,39,1005,250,140,84,"13,07","48,7"
Разград,2021,декември,15.12.2021,553,3,3,116,22,12,25,"20,98","100,0"
Русе,2021,декември,15.12.2021,1880,6,10,325,114,70,20,"17,29","60,0"
Сливен,2021,декември,15.12.2021,1120,4,8,191,40,18,48,"17,05","50,0"
Смолян,2021,декември,15.12.2021,1060,4,8,174,12,11,60,"16,42","50,0"
София-град,2021,декември,15.12.2021,12274,39,74,1851,788,308,376,"15,08","52,7"
Шумен,2021,декември,15.12.2021,741,3,5,234,26,8,60,"31,58","60,0"
Ямбол,2021,декември,15.12.2021,452,4,4,128,24,6,22,"28,32","100,0"
Бургас,2021,декември,15.12.2021,3050,11,18,387,117,28,53,"12,69","61,1"
Кърджали,2021,декември,15.12.2021,769,5,6,89,19,9,20,"11,57","83,3"
Хасково,2021,декември,15.12.2021,1093,8,11,279,38,30,22,"25,53","72,7"
Благоевград,2021,май,15.5.2021,1815,7,11,400,57,21,69,"22,04","63,6"
Варна,2021,май,15.5.2021,2389,7,19,264,90,33,70,"11,05","36,8"
Велико Търново,2021,май,15.5.2021,1576,6,13,279,41,20,135,"17,70","46,2"
Видин,2021,май,15.5.2021,320,2,2,81,6,3,0,"25,31","100,0"
Враца,2021,май,15.5.2021,1201,2,12,190,40,10,10,"15,82","16,7"
Габрово,2021,май,15.5.2021,905,5,7,198,13,8,52,"21,88","71,4"
Кюстендил,2021,май,15.5.2021,1011,3,5,143,28,13,46,"14,14","60,0"
Монтана,2021,май,15.5.2021,994,4,5,246,22,5,5,"24,75","80,0"
Перник,2021,май,15.5.2021,447,3,4,179,10,10,15,"40,04","75,0"
Плевен,2021,май,15.5.2021,2611,13,14,329,115,39,40,"12,60","92,9"
Пловдив,2021,май,15.5.2021,7691,21,39,993,250,129,84,"12,91","53,8"
Разград,2021,май,15.5.2021,553,3,3,77,22,6,18,"13,92","100,0"
Русе,2021,май,15.5.2021,1880,5,10,201,100,48,20,"10,69","50,0"
Сливен,2021,май,15.5.2021,1167,5,8,165,40,12,48,"14,14","62,5"
Смолян,2021,май,15.5.2021,1060,4,8,212,12,11,56,"20,00","50,0"
София-град,2021,май,15.5.2021,12288,39,74,2347,774,269,485,"19,10","52,7"
Шумен,2021,май,15.5.2021,741,3,5,143,28,4,45,"19,30","60,0"
Ямбол,2021,май,15.5.2021,452,4,4,67,24,3,20,"14,82","100,0"
Бургас,2021,май,15.5.2021,3050,11,18,398,89,25,53,"13,05","61,1"
Кърджали,2021,май,15.5.2021,769,5,6,130,19,12,42,"16,91","83,3"
Хасково,2021,май,15.5.2021,1093,9,11,179,38,19,22,"16,38","81,8"
Благоевград,2021,март,15.3.2021,1815,7,11,466,57,19,69,"25,67","63,6"
Варна,2021,март,15.3.2021,2389,8,19,647,90,72,70,"27,08","42,1"
Велико Търново,2021,март,15.3.2021,1576,6,13,279,41,20,123,"17,70","46,2"
Видин,2021,март,15.3.2021,320,2,2,81,6,2,0,"25,31","100,0"
Враца,2021,март,15.3.2021,1201,2,12,292,40,16,10,"24,31","16,7"
Габрово,2021,март,15.3.2021,905,5,7,198,13,8,52,"21,88","71,4"
Кюстендил,2021,март,15.3.2021,1011,3,5,208,28,13,46,"20,57","60,0"
Монтана,2021,март,15.3.2021,994,4,5,263,22,5,0,"26,46","80,0"
Перник,2021,март,15.3.2021,447,3,4,213,10,10,15,"47,65","75,0"
Плевен,2021,март,15.3.2021,2611,14,14,513,115,35,40,"19,65","100,0"
Пловдив,2021,март,15.3.2021,7691,21,39,1159,250,106,84,"15,07","53,8"
Разград,2021,март,15.3.2021,553,3,3,103,22,5,18,"18,63","100,0"
Русе,2021,март,15.3.2021,1880,5,10,464,95,43,20,"24,68","50,0"
Сливен,2021,март,15.3.2021,1167,5,8,299,40,12,48,"25,62","62,5"
Смолян,2021,март,15.3.2021,1060,4,8,209,12,9,40,"19,72","50,0"
София-град,2021,март,15.3.2021,12270,70,74,3460,873,426,745,"28,20","94,6"
Шумен,2021,март,15.3.2021,775,3,5,241,32,8,60,"31,10","60,0"
Ямбол,2021,март,15.3.2021,452,4,4,161,24,9,20,"35,62","100,0"
Бургас,2021,март,15.3.2021,3050,11,18,617,89,29,53,"20,23","61,1"
Кърджали,2021,март,15.3.2021,769,5,6,154,19,10,46,"20,03","83,3"
Хасково,2021,март,15.3.2021,1093,9,11,224,38,26,22,"20,49","81,8"
Благоевград,2021,ноември,15.11.2021,1815,7,11,479,57,27,69,"26,39","63,6"
Варна,2021,ноември,15.11.2021,2389,7,19,560,90,57,70,"23,44","36,8"
Велико Търново,2021,ноември,15.11.2021,1576,6,13,263,43,20,142,"16,69","46,2"
Видин,2021,ноември,15.11.2021,320,2,2,91,6,2,0,"28,44","100,0"
Враца,2021,ноември,15.11.2021,1201,3,12,251,40,18,10,"20,90","25,0"
Габрово,2021,ноември,15.11.2021,905,5,7,219,15,11,52,"24,20","71,4"
Кюстендил,2021,ноември,15.11.2021,1011,3,5,199,28,15,46,"19,68","60,0"
Монтана,2021,ноември,15.11.2021,994,4,5,279,22,8,0,"28,07","80,0"
Перник,2021,ноември,15.11.2021,447,3,4,202,10,9,15,"45,19","75,0"
Плевен,2021,ноември,15.11.2021,2624,13,14,278,115,21,40,"10,59","92,9"
Пловдив,2021,ноември,15.11.2021,7691,19,39,986,250,139,84,"12,82","48,7"
Разград,2021,ноември,15.11.2021,553,3,3,144,22,12,25,"26,04","100,0"
Русе,2021,ноември,15.11.2021,1880,5,10,322,114,70,20,"17,13","50,0"
Сливен,2021,ноември,15.11.2021,1120,4,8,241,40,18,48,"21,52","50,0"
Смолян,2021,ноември,15.11.2021,1060,4,8,176,12,11,60,"16,60","50,0"
София-град,2021,ноември,15.11.2021,12274,71,74,3181,819,448,595,"25,92","95,9"
Шумен,2021,ноември,15.11.2021,741,3,5,234,26,8,60,"31,58","60,0"
Ямбол,2021,ноември,15.11.2021,452,4,4,159,24,8,22,"35,18","100,0"
Бургас,2021,ноември,15.11.2021,3050,11,18,387,89,30,53,"12,69","61,1"
Кърджали,2021,ноември,15.11.2021,769,5,6,137,19,9,44,"17,82","83,3"
Хасково,2021,ноември,15.11.2021,1093,9,11,279,38,30,22,"25,53","81,8"
Благоевград,2021,октомври,15.10.2021,1815,7,11,405,57,21,69,"22,31","63,6"
Варна,2021,октомври,15.10.2021,2389,7,19,590,90,54,70,"24,70","36,8"
Велико Търново,2021,октомври,15.10.2021,1576,6,13,277,43,22,142,"17,58","46,2"
Видин,2021,октомври,15.10.2021,320,2,2,86,6,2,0,"26,88","100,0"
Враца,2021,октомври,15.10.2021,1201,2,12,211,40,18,10,"17,57","16,7"
Габрово,2021,октомври,15.10.2021,905,5,7,214,15,11,52,"23,65","71,4"
Кюстендил,2021,октомври,15.10.2021,1011,3,5,197,28,15,46,"19,49","60,0"
Монтана,2021,октомври,15.10.2021,994,4,5,261,22,10,0,"26,26","80,0"
Перник,2021,октомври,15.10.2021,447,3,4,174,10,9,15,"38,93","75,0"
Плевен,2021,октомври,15.10.2021,2624,10,14,227,115,21,40,"8,65","71,4"
Пловдив,2021,октомври,15.10.2021,7691,19,39,846,250,104,84,"11,00","48,7"
Разград,2021,октомври,15.10.2021,553,3,3,111,22,12,25,"20,07","100,0"
Русе,2021,октомври,15.10.2021,1880,5,10,278,118,70,20,"14,79","50,0"
Сливен,2021,октомври,15.10.2021,1120,4,8,274,40,14,48,"24,46","50,0"
Смолян,2021,октомври,15.10.2021,1060,4,8,142,12,10,42,"13,40","50,0"
София-град,2021,октомври,15.10.2021,12339,30,74,3061,766,306,567,"24,81","40,5"
Шумен,2021,октомври,15.10.2021,741,2,5,188,28,8,60,"25,37","40,0"
Ямбол,2021,октомври,15.10.2021,452,4,4,166,24,8,20,"36,73","100,0"
Бургас,2021,октомври,15.10.2021,3050,11,18,340,89,27,53,"11,15","61,1"
Кърджали,2021,октомври,15.10.2021,769,5,6,107,19,6,44,"13,91","83,3"
Хасково,2021,октомври,15.10.2021,1093,9,11,264,38,28,22,"24,15","81,8"
Благоевград,2021,септември,15.9.2021,1815,7,11,334,57,21,69,"18,40","63,6"
Варна,2021,септември,15.9.2021,2389,7,19,466,90,35,70,"19,51","36,8"
Велико Търново,2021,септември,15.9.2021,1576,6,13,248,43,20,123,"15,74","46,2"
Видин,2021,септември,15.9.2021,320,2,2,60,6,2,0,"18,75","100,0"
Враца,2021,септември,15.9.2021,1201,2,12,104,40,9,10,"8,66","16,7"
Габрово,2021,септември,15.9.2021,905,5,7,184,13,9,52,"20,33","71,4"
Кюстендил,2021,септември,15.9.2021,1011,3,5,153,28,15,46,"15,13","60,0"
Монтана,2021,септември,15.9.2021,994,4,5,189,22,7,5,"19,01","80,0"
Перник,2021,септември,15.9.2021,447,3,4,87,10,6,15,"19,46","75,0"
Плевен,2021,септември,15.9.2021,2624,10,14,206,115,17,40,"7,85","71,4"
Пловдив,2021,септември,15.9.2021,7691,19,39,716,250,95,84,"9,31","48,7"
Разград,2021,септември,15.9.2021,553,3,3,103,22,11,25,"18,63","100,0"
Русе,2021,септември,15.9.2021,1880,5,10,263,109,61,20,"13,99","50,0"
Сливен,2021,септември,15.9.2021,1120,4,8,230,36,10,48,"20,54","50,0"
Смолян,2021,септември,15.9.2021,1060,4,8,121,12,8,41,"11,42","50,0"
София-град,2021,септември,15.9.2021,12317,18,74,1316,761,195,258,"10,68","24,3"
Шумен,2021,септември,15.9.2021,741,3,5,208,26,8,60,"28,07","60,0"
Ямбол,2021,септември,15.9.2021,452,4,4,134,24,10,20,"29,65","100,0"
Бургас,2021,септември,15.9.2021,3050,10,18,330,89,24,53,"10,82","55,6"
Кърджали,2021,септември,15.9.2021,769,5,6,104,19,6,44,"13,52","83,3"
Хасково,2021,септември,15.9.2021,1093,9,11,235,38,23,22,"21,50","81,8"
Благоевград,2021,февруари,15.2.2021,1815,7,11,375,57,18,69,"20,66","63,6"
Варна,2021,февруари,15.2.2021,2389,8,19,261,90,45,70,"10,93","42,1"
Велико Търново,2021,февруари,15.2.2021,1576,6,13,269,41,16,123,"17,07","46,2"
Видин,2021,февруари,15.2.2021,320,2,2,81,6,2,0,"25,31","100,0"
Враца,2021,февруари,15.2.2021,1201,2,12,251,40,16,10,"20,90","16,7"
Габрово,2021,февруари,15.2.2021,905,5,7,127,13,5,52,"14,03","71,4"
Кюстендил,2021,февруари,15.2.2021,1011,3,5,145,28,11,46,"14,34","60,0"
Монтана,2021,февруари,15.2.2021,994,4,5,138,22,5,21,"13,88","80,0"
Перник,2021,февруари,15.2.2021,447,3,4,181,10,10,15,"40,49","75,0"
Плевен,2021,февруари,15.2.2021,2611,13,14,240,115,24,40,"9,19","92,9"
Пловдив,2021,февруари,15.2.2021,7691,21,39,916,250,91,84,"11,91","53,8"
Разград,2021,февруари,15.2.2021,553,3,3,61,22,3,18,"11,03","100,0"
Русе,2021,февруари,15.2.2021,1880,5,10,272,89,34,20,"14,47","50,0"
Сливен,2021,февруари,15.2.2021,1167,5,8,206,43,15,48,"17,65","62,5"
Смолян,2021,февруари,15.2.2021,1059,4,8,204,12,9,39,"19,26","50,0"
София-град,2021,февруари,15.2.2021,12247,42,74,2238,771,253,438,"18,27","56,8"
Шумен,2021,февруари,15.2.2021,780,3,5,224,32,8,60,"28,72","60,0"
Ямбол,2021,февруари,15.2.2021,452,4,4,133,24,7,20,"29,42","100,0"
Бургас,2021,февруари,15.2.2021,3050,11,18,422,89,22,53,"13,84","61,1"
Кърджали,2021,февруари,15.2.2021,769,5,6,103,19,10,24,"13,39","83,3"
Хасково,2021,февруари,15.2.2021,1093,9,11,316,38,26,22,"28,91","81,8"
Благоевград,2021,юли,15.7.2021,1815,7,11,214,57,18,69,"11,79","63,6"
Варна,2021,юли,15.7.2021,2389,1,19,82,90,7,70,"3,43","5,3"
Велико Търново,2021,юли,15.7.2021,1576,6,13,94,41,12,44,"5,96","46,2"
Видин,2021,юли,15.7.2021,320,2,2,22,6,2,0,"6,88","100,0"
Враца,2021,юли,15.7.2021,1201,2,12,54,40,6,10,"4,50","16,7"
Габрово,2021,юли,15.7.2021,905,5,7,77,13,7,52,"8,51","71,4"
Кюстендил,2021,юли,15.7.2021,1011,3,5,68,28,5,46,"6,73","60,0"
Монтана,2021,юли,15.7.2021,994,4,5,29,22,2,31,"2,92","80,0"
Перник,2021,юли,15.7.2021,447,3,4,52,10,2,15,"11,63","75,0"
Плевен,2021,юли,15.7.2021,2621,1,14,60,115,3,40,"2,29","7,1"
Пловдив,2021,юли,15.7.2021,7691,18,39,287,250,77,84,"3,73","46,2"
Разград,2021,юли,15.7.2021,553,3,3,25,22,2,18,"4,52","100,0"
Русе,2021,юли,15.7.2021,1880,5,10,61,80,14,20,"3,24","50,0"
Сливен,2021,юли,15.7.2021,1167,5,8,77,39,6,48,"6,60","62,5"
Смолян,2021,юли,15.7.2021,1060,4,8,53,12,6,30,"5,00","50,0"
София-град,2021,юли,15.7.2021,12261,24,74,356,734,61,192,"2,90","32,4"
Шумен,2021,юли,15.7.2021,741,2,5,73,28,4,35,"9,85","40,0"
Ямбол,2021,юли,15.7.2021,452,4,4,61,24,6,20,"13,50","100,0"
Бургас,2021,юли,15.7.2021,3050,7,18,74,89,4,53,"2,43","38,9"
Кърджали,2021,юли,15.7.2021,769,5,6,32,19,2,18,"4,16","83,3"
Хасково,2021,юли,15.7.2021,1093,9,11,78,38,6,22,"7,14","81,8"
Благоевград,2021,юни,15.6.2021,1815,7,11,304,57,18,69,"16,75","63,6"
Варна,2021,юни,15.6.2021,2389,6,19,189,90,5,70,"7,91","31,6"
Велико Търново,2021,юни,15.6.2021,1576,6,13,96,41,12,40,"6,09","46,2"
Видин,2021,юни,15.6.2021,320,2,2,45,6,3,0,"14,06","100,0"
Враца,2021,юни,15.6.2021,1201,2,12,51,40,6,10,"4,25","16,7"
Габрово,2021,юни,15.6.2021,905,5,7,77,13,7,52,"8,51","71,4"
Кюстендил,2021,юни,15.6.2021,1011,3,5,88,28,9,46,"8,70","60,0"
Монтана,2021,юни,15.6.2021,994,4,5,103,22,4,20,"10,36","80,0"
Перник,2021,юни,15.6.2021,447,3,4,63,10,5,15,"14,09","75,0"
Плевен,2021,юни,15.6.2021,2611,9,14,203,115,15,40,"7,77","64,3"
Пловдив,2021,юни,15.6.2021,7691,20,39,456,250,86,84,"5,93","51,3"
Разград,2021,юни,15.6.2021,553,3,3,38,22,4,18,"6,87","100,0"
Русе,2021,юни,15.6.2021,1880,5,10,118,94,28,20,"6,28","50,0"
Сливен,2021,юни,15.6.2021,1167,5,8,120,39,7,48,"10,28","62,5"
Смолян,2021,юни,15.6.2021,1060,4,8,82,12,6,30,"7,74","50,0"
София-град,2021,юни,15.6.2021,12262,28,74,944,757,177,242,"7,70","37,8"
Шумен,2021,юни,15.6.2021,741,3,5,79,28,4,35,"10,66","60,0"
Ямбол,2021,юни,15.6.2021,452,4,4,61,24,6,20,"13,50","100,0"
Бургас,2021,юни,15.6.2021,3050,5,18,92,89,14,53,"3,02","27,8"
Кърджали,2021,юни,15.6.2021,769,5,6,38,19,10,20,"4,94","83,3"
Хасково,2021,юни,15.6.2021,1093,9,11,95,38,8,22,"8,69","81,8"
Благоевград,2021,януари,15.1.2021,1815,7,11,517,57,29,69,"28,48","63,6"
Варна,2021,януари,15.1.2021,2426,8,19,334,127,23,70,"13,77","42,1"
Велико Търново,2021,януари,15.1.2021,1576,6,13,269,41,16,123,"17,07","46,2"
Видин,2021,януари,15.1.2021,320,2,2,81,6,2,0,"25,31","100,0"
Враца,2021,януари,15.1.2021,1201,2,12,272,40,16,10,"22,65","16,7"
Габрово,2021,януари,15.1.2021,905,5,7,127,13,5,52,"14,03","71,4"
Кюстендил,2021,януари,15.1.2021,1011,3,5,150,28,12,46,"14,84","60,0"
Монтана,2021,януари,15.1.2021,994,4,5,262,22,5,0,"26,36","80,0"
Перник,2021,януари,15.1.2021,447,3,4,181,10,10,15,"40,49","75,0"
Плевен,2021,януари,15.1.2021,2611,14,14,462,115,24,40,"17,69","100,0"
Пловдив,2021,януари,15.1.2021,7691,21,39,1002,250,95,84,"13,03","53,8"
Разград,2021,януари,15.1.2021,553,3,3,81,22,3,15,"14,65","100,0"
Русе,2021,януари,15.1.2021,1880,5,10,378,89,37,20,"20,11","50,0"
Сливен,2021,януари,15.1.2021,1167,5,8,206,43,15,48,"17,65","62,5"
Смолян,2021,януари,15.1.2021,1059,4,8,224,12,10,40,"21,15","50,0"
София-град,2021,януари,15.1.2021,12215,42,74,2536,769,265,428,"20,76","56,8"
Шумен,2021,януари,15.1.2021,741,3,5,238,30,8,60,"32,12","60,0"
Ямбол,2021,януари,15.1.2021,452,4,4,189,24,7,20,"41,81","100,0"
Бургас,2021,януари,15.1.2021,3050,11,18,493,89,24,53,"16,16","61,1"
Кърджали,2021,януари,15.1.2021,769,5,6,189,19,10,50,"24,58","83,3"
Хасково,2021,януари,15.1.2021,1093,8,11,324,38,26,22,"29,64","72,7"
Благоевград,2022,февруари,15.2.2021,1815,7,11,397,57,25,69,"21,87","63,6"
Варна,2022,февруари,15.2.2021,2389,7,19,486,90,67,70,"20,34","36,8"
Велико Търново,2022,февруари,15.2.2021,1576,6,13,284,39,18,128,"18,02","46,2"
Видин,2022,февруари,15.2.2021,320,2,2,68,6,2,0,"21,25","100,0"
Враца,2022,февруари,15.2.2021,1201,3,12,235,40,18,10,"19,57","25,0"
Габрово,2022,февруари,15.2.2021,905,5,7,215,19,13,52,"23,76","71,4"
Кюстендил,2022,февруари,15.2.2021,1011,3,5,205,28,13,46,"20,28","60,0"
Монтана,2022,февруари,15.2.2021,994,4,5,240,22,6,10,"24,14","80,0"
Перник,2022,февруари,15.2.2021,447,3,4,123,10,9,15,"27,52","75,0"
Плевен,2022,февруари,15.2.2021,2679,13,14,299,117,26,40,"11,16","92,9"
Пловдив,2022,февруари,15.2.2021,7743,19,39,785,260,125,84,"10,14","48,7"
Разград,2022,февруари,15.2.2021,553,3,3,124,22,12,25,"22,42","100,0"
Русе,2022,февруари,15.2.2021,1966,6,10,313,107,63,20,"15,92","60,0"
Сливен,2022,февруари,15.2.2021,1120,4,8,226,40,18,40,"20,18","50,0"
Смолян,2022,февруари,15.2.2021,1060,4,8,176,12,11,60,"16,60","50,0"
София-град,2022,февруари,15.2.2021,12231,37,74,1802,769,299,383,"14,73","50,0"
Шумен,2022,февруари,15.2.2021,721,3,5,199,28,8,60,"27,60","60,0"
Ямбол,2022,февруари,15.2.2021,452,4,4,141,24,6,22,"31,19","100,0"
Бургас,2022,февруари,15.2.2021,3050,11,18,387,117,43,53,"12,69","61,1"
Кърджали,2022,февруари,15.2.2021,769,5,6,103,19,5,20,"13,39","83,3"
Хасково,2022,февруари,15.2.2021,1093,8,11,283,38,34,22,"25,89","72,7"
Благоевград,2022,януари,15.1.2022,1815,7,11,399,57,25,69,"21,98","63,6"
Варна,2022,януари,15.1.2022,2389,7,19,486,90,57,70,"20,34","36,8"
Велико Търново,2022,януари,15.1.2022,1576,6,13,257,39,18,112,"16,31","46,2"
Видин,2022,януари,15.1.2022,320,2,2,58,6,2,0,"18,13","100,0"
Враца,2022,януари,15.1.2022,1201,3,12,221,40,18,10,"18,40","25,0"
Габрово,2022,януари,15.1.2022,905,5,7,215,19,13,52,"23,76","71,4"
Кюстендил,2022,януари,15.1.2022,1011,3,5,165,28,13,46,"16,32","60,0"
Монтана,2022,януари,15.1.2022,994,4,5,240,22,8,0,"24,14","80,0"
Перник,2022,януари,15.1.2022,447,3,4,143,10,9,15,"31,99","75,0"
Плевен,2022,януари,15.1.2022,2679,13,14,278,115,21,40,"10,38","92,9"
Пловдив,2022,януари,15.1.2022,7743,19,39,718,260,127,84,"9,27","48,7"
Разград,2022,януари,15.1.2022,553,3,3,121,22,12,25,"21,88","100,0"
Русе,2022,януари,15.1.2022,1966,6,10,325,114,70,20,"16,53","60,0"
Сливен,2022,януари,15.1.2022,1120,4,8,246,40,18,40,"21,96","50,0"
Смолян,2022,януари,15.1.2022,1060,4,8,173,12,11,60,"16,32","50,0"
София-град,2022,януари,15.1.2022,12239,40,74,2034,777,307,462,"16,62","54,1"
Шумен,2022,януари,15.1.2022,721,3,5,198,28,8,60,"27,46","60,0"
Ямбол,2022,януари,15.1.2022,452,4,4,132,24,6,22,"29,20","100,0"
Бургас,2022,януари,15.1.2022,3050,11,18,430,117,36,53,"14,10","61,1"
Кърджали,2022,януари,15.1.2022,769,5,6,91,19,9,20,"11,83","83,3"
Хасково,2022,януари,15.1.2022,1093,8,11,279,38,30,22,"25,53","72,7"
